Index,List 1,List 2,List 3,List 4
14.03.24,7.041949434,7.052628877,6.296142873,6.899643334
15.03.24,7.271676845,7.483285132,6.884454095,7.044277793
16.03.24,7.934775686,7.875331236,7.183649557,7.368949517
17.03.24,8.150998577,8.387356321,7.353722992,7.609421092
18.03.24,8.431039309,8.651915959,7.721962175,7.87996381
19.03.24,9.038559816,9.113848036,8.230332153,8.358785924
20.03.24,9.372190356,9.380729588,8.549887483,8.629469696
21.03.24,9.901777333,9.785005576,9.144202369,8.971310401
22.03.24,10.19678194,10.24808666,9.704302476,9.292963898
23.03.24,10.5890165,10.7070545,9.963247498,9.470349022
24.03.24,11.17135625,10.88163337,10.16974329,9.914551084
25.03.24,11.46641658,11.53634125,10.41127794,10.14844152
26.03.24,11.7996096,12.08963495,10.82198807,10.38737758
27.03.24,11.99255026,12.28309121,11.44652974,10.86556287
28.03.24,12.20902167,12.56680537,11.66639817,11.34358617
29.03.24,12.42646836,13.16364972,12.06107587,11.59059726
30.03.24,12.61374774,13.5092686,12.30738679,11.90208136
31.03.24,13.32365269,13.82186533,12.54280236,12.07422668
01.04.24,13.86413601,14.25817609,13.15935005,12.45719618
02.04.24,14.11329315,14.91816766,13.68481622,12.58560055
03.04.24,14.42433518,15.54477163,14.01905311,13.00425236
04.04.24,14.94636464,16.18119231,14.61304787,13.44571505
05.04.24,16.99049934,16.30501942,14.94805141,13.53201626
