Index,List 1,List 2,List 3,List 4
14.03.24,5.823364685,6.839778671,7.262326027,7.563612754
15.03.24,6.085769097,7.271625803,7.506490473,8.019188824
16.03.24,6.335914061,7.848213828,7.931541201,8.566823706
17.03.24,6.54181506,8.522885277,8.261452289,9.134091626
18.03.24,6.684155114,9.209345445,9.005268458,9.464421784
19.03.24,7.166522884,9.54737195,9.495901123,9.873480079
20.03.24,7.580338475,10.16901547,10.14914315,10.19447752
21.03.24,7.74187789,10.52260739,10.48355378,10.60071015
22.03.24,8.051461547,10.84058285,11.24872391,11.01138478
23.03.24,8.39470468,11.08134368,11.64494549,11.38859235
24.03.24,8.752858815,11.46640061,12.13593828,11.76957669
25.03.24,9.187812102,12.02696686,12.481417,12.04410091
26.03.24,9.637341589,12.67288335,13.2302121,12.58825841
27.03.24,9.979118786,13.16454274,13.81132521,12.99077004
28.03.24,10.44856349,13.85038291,14.21923561,13.16585106
29.03.24,10.73746976,14.409406,14.95754485,13.54083971
30.03.24,10.92555634,14.6631529,15.60453161,14.16202317
31.03.24,11.40004534,14.93200306,15.90885436,14.72933916
01.04.24,11.67824682,15.41851849,16.54080111,15.03064148
02.04.24,11.98610323,15.64807867,17.00154409,15.57566105
03.04.24,12.34154716,15.90004544,17.38087914,15.98984618
04.04.24,12.77194072,16.54143283,17.64339888,16.24311229
05.04.24,12.71784326,16.87736028,17.80659832,16.20753229
