Index,List 1,List 2,List 3,List 4
14.03.24,6.382164422,6.478250561,7.721300579,7.340521037
15.03.24,6.505223529,7.062621727,8.070170768,7.698590846
16.03.24,6.84557227,7.838710746,8.424847459,8.195171977
17.03.24,7.318133095,8.600274455,8.807896577,8.461128502
18.03.24,7.779483385,9.237471056,9.049759878,8.948714093
19.03.24,8.030897911,9.607971681,9.310026869,9.247590741
20.03.24,8.339451177,9.895955035,9.698480471,9.56998059
21.03.24,8.533635913,10.42684162,10.09840878,10.08573218
22.03.24,8.794475699,10.8217384,10.49294633,10.57930664
23.03.24,8.981632612,11.39280519,10.64190464,10.91142761
24.03.24,9.453611182,11.96533252,11.02782863,11.0594967
25.03.24,9.644258776,12.1822725,11.29680841,11.2168663
26.03.24,9.807759199,12.80242856,11.54796414,11.71093648
27.03.24,10.04550318,13.22824347,11.87146918,12.17132688
28.03.24,10.19378745,13.53277908,12.00633217,12.62100602
29.03.24,10.59812501,14.09732716,12.34896535,13.10549375
30.03.24,10.76465118,14.66170311,12.7745369,13.51482013
31.03.24,11.02626352,15.34703641,13.1384942,13.87757121
01.04.24,11.49954878,15.89931344,13.33938701,14.1683126
02.04.24,11.88918319,16.23152219,13.61428795,14.37621655
03.04.24,12.02265644,16.7440317,13.79002428,14.70756941
04.04.24,12.39246101,17.29860451,14.08314827,15.1551269
05.04.24,13.10543119,17.15717562,13.7440562,15.01835011
